23:55:40  |  Core  |  Info  |  * Shutdown: SkinManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  68
23:55:40  |  Core  |  Info  |  SkinManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  73
23:55:40  |  Core  |  Info  |  * Shutdown: SubWidgetManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  76
23:55:40  |  Core  |  Info  |  SubWidgetManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  96
23:55:40  |  Core  |  Info  |  * Shutdown: LayerManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  64
23:55:40  |  Core  |  Info  |  destroy layer 'Wallpaper'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Back'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Overlapped'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Middle'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Modal'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Main'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Popup'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'FadeMiddle'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Info'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'ToolTip'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'DragAndDrop'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'FadeBusy'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Pointer'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Fade'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  destroy layer 'Statistic'  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  207
23:55:40  |  Core  |  Info  |  LayerManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  75
23:55:40  |  Core  |  Info  |  * Shutdown: FontManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_FontManager.cpp  |  64
23:55:40  |  Core  |  Info  |  FontManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_FontManager.cpp  |  71
23:55:40  |  Core  |  Info  |  * Shutdown: ControllerManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  63
23:55:40  |  Core  |  Info  |  ControllerManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  74
23:55:40  |  Core  |  Info  |  * Shutdown: ClipboardManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  108
23:55:40  |  Core  |  Info  |  ClipboardManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ClipboardManager.cpp  |  110
23:55:40  |  Core  |  Info  |  * Shutdown: LayoutManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  57
23:55:40  |  Core  |  Info  |  LayoutManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LayoutManager.cpp  |  62
23:55:40  |  Core  |  Info  |  * Shutdown: PluginManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  56
23:55:40  |  Core  |  Info  |  PluginManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_PluginManager.cpp  |  61
23:55:40  |  Core  |  Info  |  * Shutdown: DynLibManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  52
23:55:40  |  Core  |  Info  |  DynLibManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_DynLibManager.cpp  |  59
23:55:40  |  Core  |  Info  |  * Shutdown: LanguageManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  56
23:55:40  |  Core  |  Info  |  LanguageManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_LanguageManager.cpp  |  60
23:55:40  |  Core  |  Info  |  * Shutdown: ResourceManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  63
23:55:40  |  Core  |  Info  |  ResourceManager successfully shutdown  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  73
23:55:40  |  Core  |  Info  |  * Shutdown: FactoryManager  |  ..\..\MyGUI_3.2.0_RC1\MyGUIEngine\src\MyGUI_FactoryManager.cpp  |  49
